"TIME","GEO","INDIC_DE","Value"
"1990","Germany including former GDR","Population on 1 January - females","41,003,093"
"1990","Germany including former GDR","Average population - total","79,433,029"
"1990","Germany including former GDR","Average population - males","38,304,858"
"1990","Estonia","Population on 1 January - total ","1,570,599"
"1990","Estonia","Population on 1 January - males","734,538"
"1990","Estonia","Population on 1 January - females","836,061"
"1990","Estonia","Average population - total","1,569,174"
"1990","Estonia","Average population - males","734,044"
"1990","Ireland","Population on 1 January - total ","3,506,970"
"1990","Ireland","Population on 1 January - males","1,743,208"
"1990","Ireland","Population on 1 January - females","1,763,762"
"1990","Ireland","Average population - total","3,513,974"
"1990","Ireland","Average population - males","1,747,042"
"1990","Greece","Population on 1 January - total ","10,120,892"
"1990","Greece","Population on 1 January - males","4,981,978"
"1990","Greece","Population on 1 January - females","5,138,914"
"1990","Greece","Average population - total","10,196,792"
"1990","Greece","Average population - males","5,019,244"
"1990","Spain","Population on 1 January - total ","38,853,227"
"1990","Spain","Population on 1 January - males","19,039,785"
"1990","Spain","Population on 1 January - females","19,813,442"
"1990","Spain","Average population - total","38,867,322"
"1990","Spain","Average population - males","19,041,302"
"1990","France","Population on 1 January - total ","58,029,398"
"1990","France","Population on 1 January - males",":"
"1990","France","Population on 1 January - females",":"
"1990","France","Average population - total","58,171,419"
"1990","France","Average population - males",":"
"1990","France (metropolitan)","Population on 1 January - total ","56,577,000"
"1990","France (metropolitan)","Population on 1 January - males","27,544,000"
"1990","France (metropolitan)","Population on 1 January - females","29,033,000"
"1990","France (metropolitan)","Average population - total","56,708,831"
"1990","France (metropolitan)","Average population - males","27,606,178"
"1990","Croatia","Population on 1 January - total ","4,772,556"
"1990","Croatia","Population on 1 January - males","2,312,578"
"1990","Croatia","Population on 1 January - females","2,459,978"
"1990","Croatia","Average population - total","4,777,368"
"1990","Croatia","Average population - males","2,315,063"
"1990","Italy","Population on 1 January - total ","56,694,360"
"1990","Italy","Population on 1 January - males","27,527,829"
"1990","Italy","Population on 1 January - females","29,166,531"
"1990","Italy","Average population - total","56,719,240"
"1990","Italy","Average population - males","27,537,600"
"1990","Cyprus","Population on 1 January - total ","572,655"
"1990","Cyprus","Population on 1 January - males","285,591"
"1990","Cyprus","Population on 1 January - females","287,064"
"1990","Cyprus","Average population - total","579,898"
"1990","Cyprus","Average population - males","289,038"
"1990","Latvia","Population on 1 January - total ","2,668,140"
"1990","Latvia","Population on 1 January - males","1,240,531"
"1990","Latvia","Population on 1 January - females","1,427,609"
"1990","Latvia","Average population - total","2,663,151"
"1990","Latvia","Average population - males","1,238,494"
"1990","Lithuania","Population on 1 January - total ","3,693,708"
"1990","Lithuania","Population on 1 January - males","1,747,473"
"1990","Lithuania","Population on 1 January - females","1,946,235"
"1990","Lithuania","Average population - total","3,697,838"
"1990","Lithuania","Average population - males","1,749,225"
"1990","Luxembourg","Population on 1 January - total ","379,300"
"1990","Luxembourg","Population on 1 January - males","185,352"
"1990","Luxembourg","Population on 1 January - females","193,948"
"1990","Luxembourg","Average population - total","381,850"
"1990","Luxembourg","Average population - males","186,848"
"1990","Hungary","Population on 1 January - total ","10,374,823"
"1990","Hungary","Population on 1 January - males","4,984,904"
"1990","Hungary","Population on 1 January - females","5,389,919"
"1990","Hungary","Average population - total","10,373,988"
"1990","Hungary","Average population - males","4,982,369"
"1990","Malta","Population on 1 January - total ","352,430"
"1990","Malta","Population on 1 January - males","173,895"
"1990","Malta","Population on 1 January - females","178,535"
"1990","Malta","Average population - total","354,170"
"1990","Malta","Average population - males","174,839"
"1990","Netherlands","Population on 1 January - total ","14,892,574"
"1990","Netherlands","Population on 1 January - males","7,358,482"
"1990","Netherlands","Population on 1 January - females","7,534,092"
"1990","Netherlands","Average population - total","14,951,510"
"1990","Netherlands","Average population - males","7,388,992"
"1990","Austria","Population on 1 January - total ","7,644,818"
"1990","Austria","Population on 1 January - males","3,654,915"
"1990","Austria","Population on 1 January - females","3,989,903"
"1990","Austria","Average population - total","7,677,850"
"1990","Austria","Average population - males","3,675,558"
"1990","Poland","Population on 1 January - total ","38,038,403"
"1990","Poland","Population on 1 January - males","18,540,495"
"1990","Poland","Population on 1 January - females","19,497,908"
"1990","Poland","Average population - total","38,110,782"
"1990","Poland","Average population - males","18,573,224"
"1990","Portugal","Population on 1 January - total ","9,995,995"
"1990","Portugal","Population on 1 January - males","4,819,318"
"1990","Portugal","Population on 1 January - females","5,176,677"
"1990","Portugal","Average population - total","9,983,218"
"1990","Portugal","Average population - males","4,812,936"
"1990","Romania","Population on 1 January - total ","23,211,395"
"1990","Romania","Population on 1 January - males","11,450,831"
"1990","Romania","Population on 1 January - females","11,760,564"
"1990","Romania","Average population - total","23,201,835"
"1990","Romania","Average population - males","11,445,308"
"1990","Slovenia","Population on 1 January - total ","1,996,377"
"1990","Slovenia","Population on 1 January - males","968,252"
"1990","Slovenia","Population on 1 January - females","1,028,125"
"1990","Slovenia","Average population - total","1,998,161"
"1990","Slovenia","Average population - males","969,241"
"1990","Slovakia","Population on 1 January - total ","5,287,663"
"1990","Slovakia","Population on 1 January - males","2,586,495"
"1990","Slovakia","Population on 1 January - females","2,701,168"
"1990","Slovakia","Average population - total","5,299,187"
"1990","Slovakia","Average population - males","2,591,204"
"1990","Finland","Population on 1 January - total ","4,974,383"
"1990","Finland","Population on 1 January - males","2,412,760"
"1990","Finland","Population on 1 January - females","2,561,623"
"1990","Finland","Average population - total","4,986,431"
"1990","Finland","Average population - males","2,419,482"
"1990","Sweden","Population on 1 January - total ","8,527,039"
"1990","Sweden","Population on 1 January - males","4,212,081"
"1990","Sweden","Population on 1 January - females","4,314,958"
"1990","Sweden","Average population - total","8,558,835"
"1990","Sweden","Average population - males","4,228,049"
"1990","United Kingdom","Population on 1 January - total ","57,156,972"
"1990","United Kingdom","Population on 1 January - males","27,773,688"
"1990","United Kingdom","Population on 1 January - females","29,383,284"
"1990","United Kingdom","Average population - total","57,247,586"
"1990","United Kingdom","Average population - males","27,818,761"
"1990","European Economic Area (EU28 plus IS, LI, NO)","Population on 1 January - total ","479,703,064"
"1990","European Economic Area (EU28 plus IS, LI, NO)","Population on 1 January - males","233,373,475"
"1990","European Economic Area (EU28 plus IS, LI, NO)","Population on 1 January - females","246,329,589"
"1990","European Economic Area (EU28 plus IS, LI, NO)","Average population - total","480,537,022"
"1990","European Economic Area (EU28 plus IS, LI, NO)","Average population - males","233,807,239"
"1990","European Economic Area (EU27 plus IS, LI, NO)","Population on 1 January - total ","474,930,508"
"1990","European Economic Area (EU27 plus IS, LI, NO)","Population on 1 January - males","231,060,897"
"1990","European Economic Area (EU27 plus IS, LI, NO)","Population on 1 January - females","243,869,611"
"1990","European Economic Area (EU27 plus IS, LI, NO)","Average population - total","475,759,654"
"1990","European Economic Area (EU27 plus IS, LI, NO)","Average population - males","231,492,176"
"1990","European Free Trade Association","Population on 1 January - total ","11,189,203"
"1990","European Free Trade Association","Population on 1 January - males","5,492,168"
"1990","European Free Trade Association","Population on 1 January - females","5,697,035"
"1990","European Free Trade Association","Average population - total","11,240,560"
"1990","European Free Trade Association","Average population - males","5,516,507"
"1990","Iceland","Population on 1 January - total ","253,785"
"1990","Iceland","Population on 1 January - males","127,432"
"1990","Iceland","Population on 1 January - females","126,353"
"1990","Iceland","Average population - total","254,826"
"1990","Iceland","Average population - males","127,928"
"1990","Liechtenstein","Population on 1 January - total ","28,452"
"1990","Liechtenstein","Population on 1 January - males","13,919"
"1990","Liechtenstein","Population on 1 January - females","14,533"
"1990","Liechtenstein","Average population - total","28,742"
"1990","Liechtenstein","Average population - males","14,192"
"1990","Norway","Population on 1 January - total ","4,233,116"
"1990","Norway","Population on 1 January - males","2,093,280"
"1990","Norway","Population on 1 January - females","2,139,836"
"1990","Norway","Average population - total","4,241,473"
"1990","Norway","Average population - males","2,097,137"
"1990","Switzerland","Population on 1 January - total ","6,673,850"
"1990","Switzerland","Population on 1 January - males","3,257,537"
"1990","Switzerland","Population on 1 January - females","3,416,313"
"1990","Switzerland","Average population - total","6,715,519"
"1990","Switzerland","Average population - males","3,277,250"
"1990","Montenegro","Population on 1 January - total ",":"
"1990","Montenegro","Population on 1 January - males",":"
"1990","Montenegro","Population on 1 January - females",":"
"1990","Montenegro","Average population - total",":"
"1990","Montenegro","Average population - males",":"
"1990","North Macedonia","Population on 1 January - total ","1,873,109"
"1990","North Macedonia","Population on 1 January - males",":"
"1990","North Macedonia","Population on 1 January - females",":"
"1990","North Macedonia","Average population - total","1,881,991"
"1990","North Macedonia","Average population - males",":"
"1990","Albania","Population on 1 January - total ","3,254,541"
"1990","Albania","Population on 1 January - males",":"
"1990","Albania","Population on 1 January - females",":"
"1990","Albania","Average population - total","3,266,790"
"1990","Albania","Average population - males",":"
"1990","Serbia","Population on 1 January - total ",":"
"1990","Serbia","Population on 1 January - males",":"
"1990","Serbia","Population on 1 January - females",":"
"1990","Serbia","Average population - total",":"
"1990","Serbia","Average population - males",":"
"1990","Turkey","Population on 1 January - total ","55,494,711"
"1990","Turkey","Population on 1 January - males","28,112,758"
"1990","Turkey","Population on 1 January - females","27,381,953"
"1990","Turkey","Average population - total","56,104,381"
"1990","Turkey","Average population - males","28,418,895"
"1990","Andorra","Population on 1 January - total ","50,887"
"1990","Andorra","Population on 1 January - males","26,716"
"1990","Andorra","Population on 1 January - females","24,171"
"1990","Andorra","Average population - total","52,697"
"1990","Andorra","Average population - males","27,841"
"1990","Belarus","Population on 1 January - total ",":"
"1990","Belarus","Population on 1 January - males",":"
"1990","Belarus","Population on 1 January - females",":"
"1990","Belarus","Average population - total",":"
"1990","Belarus","Average population - males",":"
"1990","Bosnia and Herzegovina","Population on 1 January - total ","4,499,203"
"1990","Bosnia and Herzegovina","Population on 1 January - males",":"
"1990","Bosnia and Herzegovina","Population on 1 January - females",":"
"1990","Bosnia and Herzegovina","Average population - total","4,508,562"
"1990","Bosnia and Herzegovina","Average population - males",":"
"1990","Kosovo (under United Nations Security Council Resolution 1244/99)","Population on 1 January - total ","1,909,500"
"1990","Kosovo (under United Nations Security Council Resolution 1244/99)","Population on 1 January - males",":"
"1990","Kosovo (under United Nations Security Council Resolution 1244/99)","Population on 1 January - females",":"
"1990","Kosovo (under United Nations Security Council Resolution 1244/99)","Average population - total","1,929,000"
"1990","Kosovo (under United Nations Security Council Resolution 1244/99)","Average population - males",":"
"1990","Moldova","Population on 1 January - total ",":"
"1990","Moldova","Population on 1 January - males",":"
"1990","Moldova","Population on 1 January - females",":"
"1990","Moldova","Average population - total",":"
"1990","Moldova","Average population - males",":"
"1990","Monaco","Population on 1 January - total ",":"
"1990","Monaco","Population on 1 January - males",":"
"1990","Monaco","Population on 1 January - females",":"
"1990","Monaco","Average population - total",":"
"1990","Monaco","Average population - males",":"
"1990","Russia","Population on 1 January - total ",":"
"1990","Russia","Population on 1 January - males",":"
"1990","Russia","Population on 1 January - females",":"
"1990","Russia","Average population - total",":"
"1990","Russia","Average population - males",":"
"1990","San Marino","Population on 1 January - total ",":"
"1990","San Marino","Population on 1 January - males",":"
"1990","San Marino","Population on 1 January - females",":"
"1990","San Marino","Average population - total",":"
"1990","San Marino","Average population - males",":"
"1990","Ukraine","Population on 1 January - total ",":"
"1990","Ukraine","Population on 1 January - males",":"
"1990","Ukraine","Population on 1 January - females",":"
"1990","Ukraine","Average population - total",":"
"1990","Ukraine","Average population - males",":"
"1990","Armenia","Population on 1 January - total ",":"
"1990","Armenia","Population on 1 January - males",":"
"1990","Armenia","Population on 1 January - females",":"
"1990","Armenia","Average population - total",":"
"1990","Armenia","Average population - males",":"
"1990","Azerbaijan","Population on 1 January - total ",":"
"1990","Azerbaijan","Population on 1 January - males",":"
"1990","Azerbaijan","Population on 1 January - females",":"
"1990","Azerbaijan","Average population - total",":"
"1990","Azerbaijan","Average population - males",":"
"1990","Georgia","Population on 1 January - total ",":"
"1990","Georgia","Population on 1 January - males",":"
"1990","Georgia","Population on 1 January - females",":"
"1990","Georgia","Average population - total",":"
"1990","Georgia","Average population - males",":"
"1991","European Union - 27 countries (from 2019)","Population on 1 January - total ","419,504,036"
"1991","European Union - 27 countries (from 2019)","Population on 1 January - males","204,135,430"
"1991","European Union - 27 countries (from 2019)","Population on 1 January - females","215,368,606"
"1991","European Union - 27 countries (from 2019)","Average population - total","419,958,792"
"1991","European Union - 27 countries (from 2019)","Average population - males","204,367,286"
"1991","European Union - 28 countries","Population on 1 January - total ","476,842,235"
"1991","European Union - 28 countries","Population on 1 January - males","231,999,263"
"1991","European Union - 28 countries","Population on 1 January - females","244,842,972"
"1991","European Union - 28 countries","Average population - total","477,383,689"
"1991","European Union - 28 countries","Average population - males","232,270,665"
"1991","European Union - 27 countries (2007-2013)","Population on 1 January - total ","472,060,056"
"1991","European Union - 27 countries (2007-2013)","Population on 1 January - males","229,681,715"
"1991","European Union - 27 countries (2007-2013)","Population on 1 January - females","242,378,341"
"1991","European Union - 27 countries (2007-2013)","Average population - total","472,694,667"
"1991","European Union - 27 countries (2007-2013)","Average population - males","230,003,670"
"1991","Euro area (19 countries)","Population on 1 January - total ","310,262,295"
"1991","Euro area (19 countries)","Population on 1 January - males","150,740,940"
"1991","Euro area (19 countries)","Population on 1 January - females","159,521,355"
"1991","Euro area (19 countries)","Average population - total","310,936,404"
"1991","Euro area (19 countries)","Average population - males","151,111,144"
"1991","Euro area (18 countries)","Population on 1 January - total ","306,560,327"
"1991","Euro area (18 countries)","Population on 1 January - males","148,989,964"
"1991","Euro area (18 countries)","Population on 1 January - females","157,570,363"
"1991","Euro area (18 countries)","Average population - total","307,232,270"
"1991","Euro area (18 countries)","Average population - males","149,359,275"
"1991","Belgium","Population on 1 January - total ","9,986,975"
"1991","Belgium","Population on 1 January - males","4,880,685"
"1991","Belgium","Population on 1 January - females","5,106,290"
"1991","Belgium","Average population - total","10,004,486"
"1991","Belgium","Average population - males","4,889,959"
"1991","Bulgaria","Population on 1 January - total ","8,669,269"
"1991","Bulgaria","Population on 1 January - males","4,269,998"
"1991","Bulgaria","Population on 1 January - females","4,399,271"
"1991","Bulgaria","Average population - total","8,632,367"
"1991","Bulgaria","Average population - males","4,249,724"
"1991","Czechia","Population on 1 January - total ","10,304,607"
"1991","Czechia","Population on 1 January - males","5,000,966"
"1991","Czechia","Population on 1 January - females","5,303,641"
"1991","Czechia","Average population - total","10,308,578"
"1991","Czechia","Average population - males","5,003,484"
"1991","Denmark","Population on 1 January - total ","5,146,469"
"1991","Denmark","Population on 1 January - males","2,536,391"
"1991","Denmark","Population on 1 January - females","2,610,078"
"1991","Denmark","Average population - total","5,154,298"
"1991","Denmark","Average population - males","2,540,423"
"1991","Germany (until 1990 former territory of the FRG)","Population on 1 January - total ","79,753,227"
"1991","Germany (until 1990 former territory of the FRG)","Population on 1 January - males","38,499,977"
"1991","Germany (until 1990 former territory of the FRG)","Population on 1 January - females","41,253,250"
"1991","Germany (until 1990 former territory of the FRG)","Average population - total","80,013,896"
"1991","Germany (until 1990 former territory of the FRG)","Average population - males","38,669,540"
"1991","Germany including former GDR","Population on 1 January - total ","79,753,227"
"1991","Germany including former GDR","Population on 1 January - males","38,499,977"
"1991","Germany including former GDR","Population on 1 January - females","41,253,250"
"1991","Germany including former GDR","Average population - total","80,013,896"
"1991","Germany including former GDR","Average population - males","38,669,540"
"1991","Estonia","Population on 1 January - total ","1,567,749"
"1991","Estonia","Population on 1 January - males","733,549"
"1991","Estonia","Population on 1 January - females","834,200"
"1991","Estonia","Average population - total","1,561,314"
"1991","Estonia","Average population - males","730,152"
"1991","Ireland","Population on 1 January - total ","3,520,977"
"1991","Ireland","Population on 1 January - males","1,750,875"
"1991","Ireland","Population on 1 January - females","1,770,102"
"1991","Ireland","Average population - total","3,534,235"
"1991","Ireland","Average population - males","1,757,796"
"1991","Greece","Population on 1 January - total ","10,272,691"
"1991","Greece","Population on 1 January - males","5,056,509"
"1991","Greece","Population on 1 January - females","5,216,182"
"1991","Greece","Average population - total","10,319,927"
"1991","Greece","Average population - males","5,080,902"
"1991","Spain","Population on 1 January - total ","38,881,416"
"1991","Spain","Population on 1 January - males","19,042,818"
"1991","Spain","Population on 1 January - females","19,838,598"
"1991","Spain","Average population - total","38,966,376"
"1991","Spain","Average population - males","19,084,424"
"1991","France","Population on 1 January - total ","58,313,439"
"1991","France","Population on 1 January - males","28,391,114"
"1991","France","Population on 1 January - females","29,922,325"
"1991","France","Average population - total","58,459,145"
"1991","France","Average population - males","28,459,327"
"1991","France (metropolitan)","Population on 1 January - total ","56,840,661"
"1991","France (metropolitan)","Population on 1 January - males","27,668,356"
"1991","France (metropolitan)","Population on 1 January - females","29,172,305"
"1991","France (metropolitan)","Average population - total","56,975,597"
"1991","France (metropolitan)","Average population - males","27,731,739"
"1991","Croatia","Population on 1 January - total ","4,782,179"
"1991","Croatia","Population on 1 January - males","2,317,548"
"1991","Croatia","Population on 1 January - females","2,464,631"
"1991","Croatia","Average population - total","4,689,022"
"1991","Croatia","Average population - males","2,266,995"
"1991","Italy","Population on 1 January - total ","56,744,119"
"1991","Italy","Population on 1 January - males","27,547,371"
"1991","Italy","Population on 1 January - females","29,196,748"
"1991","Italy","Average population - total","56,758,521"
"1991","Italy","Average population - males","27,550,667"
"1991","Cyprus","Population on 1 January - total ","587,141"
"1991","Cyprus","Population on 1 January - males","292,485"
"1991","Cyprus","Population on 1 January - females","294,656"
"1991","Cyprus","Average population - total","595,105"
"1991","Cyprus","Average population - males","296,370"
"1991","Latvia","Population on 1 January - total ","2,658,161"
"1991","Latvia","Population on 1 January - males","1,236,456"
"1991","Latvia","Population on 1 January - females","1,421,705"
"1991","Latvia","Average population - total","2,650,581"
"1991","Latvia","Average population - males","1,232,533"
"1991","Lithuania","Population on 1 January - total ","3,701,968"
"1991","Lithuania","Population on 1 January - males","1,750,976"
"1991","Lithuania","Population on 1 January - females","1,950,992"
"1991","Lithuania","Average population - total","3,704,134"
"1991","Lithuania","Average population - males","1,751,869"
"1991","Luxembourg","Population on 1 January - total ","384,400"
"1991","Luxembourg","Population on 1 January - males","188,344"
"1991","Luxembourg","Population on 1 January - females","196,056"
"1991","Luxembourg","Average population - total","387,000"
"1991","Luxembourg","Average population - males","189,773"
"1991","Hungary","Population on 1 January - total ","10,373,153"
"1991","Hungary","Population on 1 January - males","4,979,833"
"1991","Hungary","Population on 1 January - females","5,393,320"
"1991","Hungary","Average population - total","10,373,400"
"1991","Hungary","Average population - males","4,977,782"
"1991","Malta","Population on 1 January - total ","361,908"
"1991","Malta","Population on 1 January - males","177,939"
"1991","Malta","Population on 1 January - females","183,969"
"1991","Malta","Average population - total","363,845"
"1991","Malta","Average population - males","178,891"
"1991","Netherlands","Population on 1 January - total ","15,010,445"
"1991","Netherlands","Population on 1 January - males","7,419,501"
"1991","Netherlands","Population on 1 January - females","7,590,944"
"1991","Netherlands","Average population - total","15,069,798"
"1991","Netherlands","Average population - males","7,449,962"
"1991","Austria","Population on 1 January - total ","7,710,882"
"1991","Austria","Population on 1 January - males","3,696,200"
"1991","Austria","Population on 1 January - females","4,014,682"
"1991","Austria","Average population - total","7,754,891"
"1991","Austria","Average population - males","3,721,376"
"1991","Poland","Population on 1 January - total ","38,183,160"
"1991","Poland","Population on 1 January - males","18,605,952"
"1991","Poland","Population on 1 January - females","19,577,208"
"1991","Poland","Average population - total","38,246,193"
"1991","Poland","Average population - males","18,633,640"
"1991","Portugal","Population on 1 January - total ","9,970,441"
"1991","Portugal","Population on 1 January - males","4,806,553"
"1991","Portugal","Population on 1 January - females","5,163,888"
"1991","Portugal","Average population - total","9,960,235"
"1991","Portugal","Average population - males","4,800,865"
"1991","Romania","Population on 1 January - total ","23,192,274"
"1991","Romania","Population on 1 January - males","11,439,785"
"1991","Romania","Population on 1 January - females","11,752,489"
"1991","Romania","Average population - total","23,001,155"
"1991","Romania","Average population - males","11,326,774"
"1991","Slovenia","Population on 1 January - total ","1,999,945"
"1991","Slovenia","Population on 1 January - males","970,229"
"1991","Slovenia","Population on 1 January - females","1,029,716"
"1991","Slovenia","Average population - total","1,999,429"
"1991","Slovenia","Average population - males","970,131"
"1991","Slovakia","Population on 1 January - total ","5,310,711"
"1991","Slovakia","Population on 1 January - males","2,595,913"
"1991","Slovakia","Population on 1 January - females","2,714,798"
"1991","Slovakia","Average population - total","5,303,294"
"1991","Slovakia","Average population - males","2,589,572"
"1991","Finland","Population on 1 January - total ","4,998,478"
"1991","Finland","Population on 1 January - males","2,426,204"
"1991","Finland","Population on 1 January - females","2,572,274"
"1991","Finland","Average population - total","5,013,740"
"1991","Finland","Average population - males","2,434,623"
"1991","Sweden","Population on 1 January - total ","8,590,630"
"1991","Sweden","Population on 1 January - males","4,244,017"
"1991","Sweden","Population on 1 January - females","4,346,613"
"1991","Sweden","Average population - total","8,617,375"
"1991","Sweden","Average population - males","4,257,320"
"1991","United Kingdom","Population on 1 January - total ","57,338,199"
"1991","United Kingdom","Population on 1 January - males","27,863,833"
"1991","United Kingdom","Population on 1 January - females","29,474,366"
"1991","United Kingdom","Average population - total","57,424,897"
"1991","United Kingdom","Average population - males","27,903,379"
"1991","European Economic Area (EU28 plus IS, LI, NO)","Population on 1 January - total ","481,376,963"
"1991","European Economic Area (EU28 plus IS, LI, NO)","Population on 1 January - males","234,243,145"
"1991","European Economic Area (EU28 plus IS, LI, NO)","Population on 1 January - females","247,133,818"
"1991","European Economic Area (EU28 plus IS, LI, NO)","Average population - total","481,932,427"
"1991","European Economic Area (EU28 plus IS, LI, NO)","Average population - males","234,521,597"
"1991","European Economic Area (EU27 plus IS, LI, NO)","Population on 1 January - total ","476,594,784"
"1991","European Economic Area (EU27 plus IS, LI, NO)","Population on 1 January - males","231,925,597"
"1991","European Economic Area (EU27 plus IS, LI, NO)","Population on 1 January - females","244,669,187"
"1991","European Economic Area (EU27 plus IS, LI, NO)","Average population - total","477,243,405"
"1991","European Economic Area (EU27 plus IS, LI, NO)","Average population - males","232,254,602"
"1991","European Free Trade Association","Population on 1 January - total ","11,291,916"
"1991","European Free Trade Association","Population on 1 January - males","5,540,844"
"1991","European Free Trade Association","Population on 1 January - females","5,751,072"
"1991","European Free Trade Association","Average population - total","11,348,716"
"1991","European Free Trade Association","Average population - males","5,570,246"
"1991","Iceland","Population on 1 January - total ","255,866"
"1991","Iceland","Population on 1 January - males","128,423"
"1991","Iceland","Population on 1 January - females","127,443"
"1991","Iceland","Average population - total","257,797"
"1991","Iceland","Average population - males","129,335"
"1991","Liechtenstein","Population on 1 January - total ","29,032"
"1991","Liechtenstein","Population on 1 January - males","14,465"
"1991","Liechtenstein","Population on 1 January - females","14,567"
"1991","Liechtenstein","Average population - total","29,209"
"1991","Liechtenstein","Average population - males","14,420"
"1991","Norway","Population on 1 January - total ","4,249,830"
"1991","Norway","Population on 1 January - males","2,100,994"
"1991","Norway","Population on 1 January - females","2,148,836"
"1991","Norway","Average population - total","4,261,732"
"1991","Norway","Average population - males","2,107,177"
"1991","Switzerland","Population on 1 January - total ","6,757,188"
"1991","Switzerland","Population on 1 January - males","3,296,962"
"1991","Switzerland","Population on 1 January - females","3,460,226"
"1991","Switzerland","Average population - total","6,799,978"
"1991","Switzerland","Average population - males","3,319,314"
"1991","Montenegro","Population on 1 January - total ",":"
"1991","Montenegro","Population on 1 January - males",":"
"1991","Montenegro","Population on 1 January - females",":"
"1991","Montenegro","Average population - total",":"
"1991","Montenegro","Average population - males",":"
"1991","North Macedonia","Population on 1 January - total ","1,890,872"
"1991","North Macedonia","Population on 1 January - males",":"
"1991","North Macedonia","Population on 1 January - females",":"
"1991","North Macedonia","Average population - total","1,899,907"
"1991","North Macedonia","Average population - males",":"
"1991","Albania","Population on 1 January - total ","3,279,039"
"1991","Albania","Population on 1 January - males",":"
"1991","Albania","Population on 1 January - females",":"
"1991","Albania","Average population - total","3,247,039"
"1991","Albania","Average population - males",":"
"1991","Serbia","Population on 1 January - total ",":"
"1991","Serbia","Population on 1 January - males",":"
"1991","Serbia","Population on 1 January - females",":"
"1991","Serbia","Average population - total",":"
"1991","Serbia","Average population - males",":"
"1991","Turkey","Population on 1 January - total ","56,714,051"
"1991","Turkey","Population on 1 January - males","28,725,032"
"1991","Turkey","Population on 1 January - females","27,989,019"
"1991","Turkey","Average population - total","57,274,564"
"1991","Turkey","Average population - males","29,005,784"
"1991","Andorra","Population on 1 January - total ","54,507"
"1991","Andorra","Population on 1 January - males","28,965"
"1991","Andorra","Population on 1 January - females","25,542"
"1991","Andorra","Average population - total","56,778"
"1991","Andorra","Average population - males","30,221"
"1991","Belarus","Population on 1 January - total ",":"
"1991","Belarus","Population on 1 January - males",":"
